580,1,罗技 LS1 USB有线激光鼠标 黑色,93.56
194631,1,绿联 30221一拖四HUB转换器/USB3.0分线器 1.5m,69.00
144420,1,闪迪（SanDisk）高速（CZ48）16GB U盘 USB3.0,49.40
176182,1,华为(HUAWEI) M3 8.4英寸 (八核 海思麒麟950 ...,2290.27
179036,1,华为(HUAWEI) M3 青春版 8.0英寸 平板电脑(哈曼卡...,1800.02
175661,1,CNCOB rj11 镀金4芯电话水晶头/6P4C水晶头 约10...,55.00
177729,1,TP-LINK TL-WN826N USB无线网卡,86.00
144453,1,闪迪（SanDisk）酷铄(CZ73) 64GB USB3.0,138.50
155282,1,金士顿 CLASS10 64G SD卡 存储卡 高速相机卡,208.00
135647,1,TP-LINK TL-WN823N 300M 迷你型无线USB网...,64.69
161006,1,联想（Lenovo）M120光学鼠标 黑色,28.71
140025,1,罗技（Logitech）MK120有线键鼠套装(920-002589),81.18
181329,1,绿联 11190 HDMI 1.5米 2.0版视频线,55.00
161876,1,希捷 ST4000NM0035 V5系列 企业级硬盘4TB,1266.80
168669,1,闪迪 32G 读速150MS Type-C USB 3.1双接口...,140.00
148454,1,罗技 MK275 无线套装/黑色,117.00
148463,1,罗技 M330 无线静音鼠标 黑色,119.00
160591,1,友讯 DES-1005C5口 交换机,63.00
152155,1,飞利浦 高速超五类网线 SWA1938/93 10米,24.65
146644,1,索尼 ICD-TX650 迷你易携带TX50升级款16G录音笔 黑,989.00
166884,1,磊科 NS108D 8口百兆交换机,65.21
175890,1,华硕 ASUS DRW-24D5MT 台式电脑内置光驱DVD刻录机,139.00
182624,1,TP-LINK TL-WR842N 双天线4口300M无线路由器,98.00
191371,1,飚王 SHU017 HUB 4口飞梭集线器,27.00
189887,1,闪迪 酷铄 16GB U盘（SDCZ73-016G-Z46）,45.44
137925,1,爱国者 R5530 远距高清降噪小巧超薄专业录音笔 8G黑色,437.00
179917,1,川宇kawau C396 USB3.0 读卡器 读卡器3.0 二...,29.90
164313,1,安普（AMP）6-219586-4 原装超五类网线 蓝箱 305米,659.00
182407,1,赛康 USB延长线 5米 公对母数据连接线,25.00
178329,1,绿联 10328 USB2.0 3米 打印机数据线 黑,20.00
175792,1,国产 NSM-CC20 2.5寸 移动硬盘包/防震包 颜色随机,14.00
189886,1,闪迪 酷铄 32GB U盘（SDCZ73-032G-Z46）,67.42
136651,1,TP-LINK TL-WVR308 300M无线VPN路由器8口...,377.00
144425,1,金士顿（Kingston）DTSE9 32GB U盘（银灰）金属...,68.71
